GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodArgument,0,34,0,2,0,5,0,4,0,3
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodJavadoc,0,24,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodImplementation,0,17,0,0,0,2,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl,DSLMethod.Builder,0,53,0,0,0,10,0,4,0,4
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl,DSLMethod,5,146,1,1,1,19,1,8,0,8
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvideMatchersMirror,0,245,0,12,0,34,0,26,0,20
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,Matchable.new Matchable() {...},0,33,0,0,0,6,0,6,0,6
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersElementVisitor,6,47,0,3,2,11,1,5,1,3
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,Matchable,0,81,0,8,0,8,0,12,0,8
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementMatcherMirror,0,381,0,2,0,57,0,20,0,19
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementGeneralMirror,0,146,0,4,0,21,0,15,0,13
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,RoundMirrorSupport,0,6,0,0,0,1,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementData,0,57,0,0,0,12,0,11,0,11
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementMirror,7,612,0,14,1,81,2,31,2,24
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersSubElementVisitor,2,160,2,14,1,26,3,16,1,10
