GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodArgument,27,7,2,0,3,2,2,2,1,2
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodJavadoc,0,24,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl.lang,DSLMethodImplementation,0,17,0,0,0,2,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl,DSLMethod.Builder,0,53,0,0,0,10,0,4,0,4
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor.dsl,DSLMethod,5,146,1,1,1,19,1,8,0,8
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvideMatchersMirror,32,213,6,6,4,30,5,21,2,18
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,Matchable.new Matchable() {...},3,30,0,0,1,5,1,5,1,5
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersElementVisitor,0,53,0,3,0,13,0,6,0,4
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,Matchable,52,29,8,0,5,3,9,3,5,3
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementMatcherMirror,195,186,2,0,22,35,14,6,13,6
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementGeneralMirror,23,123,2,2,3,18,3,12,1,12
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,RoundMirrorSupport,6,0,0,0,1,0,1,0,1,0
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementData,36,21,0,0,7,5,6,5,6,5
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersAnnotatedElementMirror,323,296,7,7,38,44,18,15,13,13
Powerunit - Java Testing framework for JDK 1.8 - Extension to provide matchers based on annotations.,ch.powerunit.extensions.matchers.provideprocessor,ProvidesMatchersSubElementVisitor,79,83,4,12,11,16,9,10,6,5
